Index,Sentence
1,"A family , seemingly a father , a mother and two of their children , get in a car ."
2,"Funky music starts , playing some bad obscenities ."
3,It seems they do n't care so much about its lyrics and ride on to the rhythm .
4,This commercial film is really reflecting what happens to English learners .
5,Characters of the seasons are completely different from each other in Japan .
6,"In spring , we can see not only plums and cherry blossoms , but also a trailing mist across mountains which is a crowning beauty in the morning ."
7,"In summer , if you go to the countryside , many fireflies will welcome you ."
8,It must be a fantastic scene .
9,"In autumn , especialy late autmn , when you look at the reeds flashing ( ? ) golden and the leaves turning red or yellow , you will surely feel happy , as if you were dreaming ."
10,"In winter , silent snow indicates great intelligence ( / wisdom ) which man can not have ."
11,"In response to the question as to which season I like , it must be the time of seasonal change ."
12,"I miss passing seasons with affection , while I admire coming seasons ."
13,Japanese value evanescence .
14,"The beauty of the cherry blossom is not so much in its appearance , but its evanescence ."
15,The life of a firefly is very short .
16,I wanna learn Japanese but I 'm so busy and I ca n't type Japanese on this PC in the coming weeks .
17,"I like it here , so does Kichan"
18,It tasted very good ! !
19,It takes two hours to commute to work to and fro .
20,I take a subway to work and change trains twice .
21,I study my English books in the train .
22,"Usually , we use them only when we go far away ."
23,Today I needed to go to the post office to pick up a letter from Japan .
24,I used a highway just to go to the post office .
25,I think my Japanese friends would never believe this .
26,Japan won against Argentina ! I 'm so excited !
27,But I could n't see the game .
28,Do you know about MANGA cafes ?
29,Does anyone know about Manga cafes ?
30,A Manga cafe is where you can read many many Manga .
31,In the Manga cafes they give us separate rooms .
32,Their prices are low so many generations can use them .
33,"If you come to Japan and your are good at Japanese , I suggest going a Manga cafe ."
34,"By the way , Manga cafes have many different surroundings ."
35,They have good surroundings .
36,"In IKEBUKURO , KITITYOUZI , SIBUYA have good one . ( ? )"
37,Thank you for reading ^ ^
38,It is the first time I 've [ I have ] come here .
39,Hello ! !
40,"Yesterday , I went drinking with my friends from when I was college student ."
41,One of them is working for a Japanese automaker .
42,Sometimes he goes around the world .
43,enjot it ! I 'm enjoying it !
44,I decided to read aloud using the AFN book .
45,The first section was the inaugural address of Barack Obama as the nation 's 44th president .
46,Usually I carry my I - pod to listen to some music and English programs .
47,Today I found out a new thing about English .
48,The sentence is ( space ) `` I can not thank you enough ``
49,I felt this sentence sounded like that person is n't grateful .
50,Yeah I learned today one thing today .
51,"I put a fish , which was his favourite food , on his grave ."
52,"I can think of nothing , because I am tired now , or just pretending to be tired now ."
53,"What I am doing now looks like nothing , but it 's ( ? ) coming from nowhere , or it is just that I have to think more to find out what is needed ."
54,"I have trouble with my studies , livelihood and my girlfriend ( who may leave soon )"
55,I went to a cafe near my school to read books and I walked for a long time .
56,Honestly I need to challenge my German .
57,But it does n't mean that I 'm giving up .
58,There are a lot of students from various countries .
59,"England , Italy , Austria , Slovakia , Serbia etc ."
60,"Since this was my first time meeting Slovakian and Serbian people ,"
61,"Almost all conversation was in English , but I would have to say I had much difficulty communicating with them ."
62,"My communication skill in English is not good enough , particularly for listening ."
63,"In addition to that , everybody had a different accent in English including me ."
64,So they tried to memorize it by associating it with `` Hiroshima ( Japanese city ) ``
65,"It sounds funny , I never hit upon such an idea ."
66,"But I think Hiroshi is easier than Hiroshima , because it 's shorter , is n't it ?"
67,"Nice to meet u ~ ~ I 'm a freshman here ~ ~ I was born in Chengdu , China ."
68,I hope I can make friends with you ~ ~
69,I hope everyone has a nice day ~ ~
70,Thank you ~ ~ ~ ~
71,"When I happend to walk by the front of a kimono shop , a cute young clerk wearing kimono talked to me whilst smiling ."
72,Some pretty girls wearing kimono were in Kyoto or Universal Studio Japan in Osaka on the pictures .
73,We talked about kimonos and things for a long time .
74,"The clerk said , `` If you have time , why do n't you try this on ? ``"
75,Of corse I tried it .
76,I had enough time and I do n't have any kimonos instead of yukata .
77,The kimono which I tried on was really beautiful .
78,I was satisfied with trying it on and had fun talking with the clerk .
79,"But Kimono 's are very expensive , I ca n't afford to buy it now ."
80,It seems that today will be a really nice day .
81,There are n't any clouds in the sky . The sun is shining and there is no wind .
82,"Also , it is3 degrees Celsius , but it isonly11 a . m . Today I 'm going to play basketball in the skate park ."
83,"By the way , in the NBA , theOklahoma City Thunders wonversus L ."
84,Lakers and arenow 2 - 2 in theseries .
85,"m EST time , Cleveland will play versus Chicago ."
86,I hope theCavaliers will win .
87,"It like the spring had come already here in Chubu area , the center of Japan ."
88,"This is a quick digression , and the headquarters of hot TOYOTA is here ."
89,"And yesterday was my pay day , so I withdrew some money from ATM ."
90,But it took me no less than 100 yen to withdraw some money as it was on saturday .
91,"you see , just to withdraw money !"
92,The banks are so budget - minded . Why should I pay money to withdraw my money ?
93,What do you think about it ?
94,"Though I make fuss over it , I take out my money on weekends ."
95,"By the way , I walked to the convience store on foot since it 's so close ."
96,"I could see many spring flowers out there , and I was able to feel spring is actually around the corner ."
97,I looked up other words to mean warm and found `` as snug as a bug in a rug `` .
98,I found it isvery interesting .
99,My name is Phyten !
100,"I am a student in Hitotsubashi University , and my major is economics ."
101,( Here is a list of my hobbies . . . )
102,"Playing guitar , reading books ( especially on business and finance ) , playing badminton , surfing the Internet , programming , and talking ( chatting ) with my friends !"
103,Also we can play with our neighbors . Not only we can make good friends but also we can spend quality time together .
104,"Maybe I guess there is a saying , `` There will be fortunes to people who do nice things for their neighbors . `` ."
105,"If we share the foods to our neighbors when they are becoming poor , then we can get some food from them when they become okay and I become poor ."
106,"Next , we should act in a polite and positive manner towards our neighbors ."
107,"Neighbors are the part of our life and society , and all people like the neighbors who are very nice ."
108,"We should be friendly , helpful , and act in a suitable manner if we want to become a nice neighbors ."
109,I 've finished my work .
110,I fixed some program code .
111,On this line ' Ninja ' trains - trains withninjas ' facespainted on - run every day .
112,But the train I 'm taking is not a ' Ninja ' train .
113,It does n't mean I got lost but that I lost my bank card .
114,"Till recently , I was always absent - minded for some reason ."
115,I kept thinking about things while walking on the road or siting in the train .
116,After I found out that the card was not in the right place .
117,I emptied my bag and anxiously checked it 3 ( three ) times . with .
118,But I still could n't find it .
119,"Then , I called my family to let them . report the loss to the bank immediately ."
120,I ca n't do that any more .
121,But what can I do ?
122,"I just got home , recently I 've been getting back home late because of my job ."
123,I really want to say thank you to everyone who corrected my mistakes and sent me a message .
124,"I am now exchange student in America , and this is the first time I have ever lived without my family , so my parents worried a lot when I said goodbye to them at the airport ."
125,But I reassured them by saying that I would send emails .
